,0,1,2,3,4
0,0	19790101	197901	1979	1979.0027											AFR	AFRICA	AFR								1	040	040	04	1	1	9	1	9	5.52631578947368					0	0	0					0	0	0					0	0		20130203,,,,
1,1	19790101	197901	1979	1979.0027											AGR	FARMER						AGR			1	030	030	03	1	4	10	1	10	10.9792284866469					0	0	0	1	Nigeria	NI	NI	10	8	0	1	Nigeria	NI	NI	10	8	0	20130203,,,,
2,2	19790101	197901	1979	1979.0027											AGR	FARMER						AGR			1	100	100	10	3	-5	10	1	10	10.9792284866469					0	0	0	1	Nigeria	NI	NI	10	8	0	1	Nigeria	NI	NI	10	8	0	20130203,,,,
3,3	19790101	197901	1979	1979.0027											CHN	CHINA	CHN								1	043	043	04	1	2.8	2	1	2	7.73943889068043					0	0	0	4	Dizhou, Guangxi, China	CH	CH16	23.0036	106.359	-1903584	4	Dizhou, Guangxi, China	CH	CH16	23.0036	106.359	-1903584	20130203
4,4	19790101	197901	1979	1979.0027											COP	POLICE						COP			0	190	190	19	4	-10	5	1	5	3.37909186906019					0	0	0	3	Dallas, Texas, United States	US	USTX	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	32.7831	-96.8067	1380944	20130203
5,5	19790101	197901	1979	1979.0027											CVL	IMMIGRANT						CVL			1	046	046	04	1	7	6	1	6	2.26244343891403					0	0	0	4	Emunim, HaDarom, Israel	IS	IS01	31.7444	34.6809	-779676	4	Emunim, HaDarom, Israel	IS	IS01	31.7444	34.6809	-779676	20130203
6,6	19790101	197901	1979	1979.0027											EGYEDU	EGYPTIAN	EGY					EDU			1	040	040	04	1	1	9	1	9	5.8252427184466					0	0	0					0	0	0					0	0		20130203,,,,
7,7	19790101	197901	1979	1979.0027											GOV	DEPUTY PRIME MINISTER						GOV			1	020	020	02	1	3	2	1	2	3.88349514563107					0	0	0	1	Turkey	TU	TU	39	35	0	1	Turkey	TU	TU	39	35	0	20130203,,,,
8,8	19790101	197901	1979	1979.0027											GOV	REGIME						GOV			1	040	040	04	1	1	2	1	2	5.29411764705882					0	0	0	4	Peiping, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Peiping, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20130203
9,9	19790101	197901	1979	1979.0027											GOV	REGIME						GOV			1	040	040	04	1	1	8	1	8	5.29411764705882					0	0	0	4	Taiwan Strait, Taiwan (general), Taiwan	TW	TW00	24	119	-2637942	4	Peiping, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20130203
10,10	19790101	197901	1979	1979.0027											GOV	GOVERNOR						GOV			1	040	040	04	1	1	3	1	3	2.32558139534884					0	0	0	4	Szczecin, Zachodniopomorskie, Poland	PL	PL87	53.4395	14.5939	-531881	4	Szczecin, Zachodniopomorskie, Poland	PL	PL87	53.4395	14.5939	-531881	20130203
11,11	19790101	197901	1979	1979.0027											GOV	GOVERNMENT						GOV			0	042	042	04	1	1.9	9	1	9	4.85036119711042					0	0	0	4	Teheran, Iran (general), Iran	IR	IR00	35.705	51.4216	-3087341	4	Teheran, Iran (general), Iran	IR	IR00	35.705	51.4216	-3087341	20130203
12,12	19790101	197901	1979	1979.0027											GOV	CABINET						GOV			0	043	043	04	1	2.8	9	1	9	4.21686746987952					0	0	0	4	Zimbabwe Rhodesia, Zimbabwe (general), Zimbabwe	ZI	ZI00	-19	29	-2324006	4	Zimbabwe Rhodesia, Zimbabwe (general), Zimbabwe	ZI	ZI00	-19	29	-2324006	20130203
13,13	19790101	197901	1979	1979.0027											GOV	KING						GOV			1	046	046	04	1	7	15	2	15	6.99238245337536					0	0	0					0	0	0					0	0		20130203,,,,
14,14	19790101	197901	1979	1979.0027											GOV	REGIME						GOV			1	046	046	04	1	7	2	1	2	5.29411764705882					0	0	0	4	Peiping, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Peiping, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20130203
15,15	19790101	197901	1979	1979.0027											GOV	REGIME						GOV			1	046	046	04	1	7	8	1	8	5.29411764705882					0	0	0	4	Taiwan Strait, Taiwan (general), Taiwan	TW	TW00	24	119	-2637942	4	Peiping, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20130203
16,16	19790101	197901	1979	1979.0027											GOV	GOVERNMENT						GOV			0	051	051	05	1	3.4	9	1	9	2.5					0	0	0	4	Phnom Penh, (CB11), Cambodia	CB	CB11	11.55	104.917	-1033783	4	Phnom Penh, (CB11), Cambodia	CB	CB11	11.55	104.917	-1033783	20130203
17,17	19790101	197901	1979	1979.0027											GOVMIL	MILITARY GOVERNMENT						GOV	MIL		0	043	043	04	1	2.8	5	1	5	4.85036119711042					0	0	0	4	Teheran, Iran (general), Iran	IR	IR00	35.705	51.4216	-3087341	4	Teheran, Iran (general), Iran	IR	IR00	35.705	51.4216	-3087341	20130203
18,18	19790101	197901	1979	1979.0027											GUYGOV	GUYANA	GUY					GOV			1	0841	084	08	2	7	2	1	2	3.29218106995885					0	0	0	4	Guyana, Guyana (general), Guyana	GY	GY00	4	-60	-919987	1	Russia	RS	RS	60	100	0	20130203,,
19,19	19790101	197901	1979	1979.0027											IRN	AHVAZ	IRN								1	042	042	04	1	1.9	2	1	2	4.46428571428571					0	0	0	4	Ahvaz, Khuzestan, Iran	IR	IR15	31.3203	48.6693	-3052107	4	Ahvaz, Khuzestan, Iran	IR	IR15	31.3203	48.6693	-3052108	20130203
20,20	19790101	197901	1979	1979.0027											IRN	IRANIAN	IRN								1	0841	084	08	2	7	2	1	2	8.38958534233366					0	0	0	0	Mordad, Fars, Iran	IR	IR07	30.2322	51.5619	-3755961	0	Mordad, Fars, Iran	IR	IR07	30.2322	51.5619		20130203
21,21	19790101	197901	1979	1979.0027											JPN	JAPAN	JPN								1	061	061	06	2	6.4	10	1	10	8.92857142857143					0	0	0	1	Japan	JA	JA	36	138	0	1	Japan	JA	JA	36	138	0	20130203,,,,
22,22	19790101	197901	1979	1979.0027											KHM	CAMBODIAN	KHM								1	043	043	04	1	2.8	2	1	2	3.30073349633252					0	0	0	4	Mondulkiri, Khet Mondul Kiri, Cambodia	CB	CB10	12.45	107.2	-1032742	4	Mondulkiri, Khet Mondul Kiri, Cambodia	CB	CB10	12.45	107.2	-1024640	20130203
23,23	19790101	197901	1979	1979.0027											KHM	CAMBODIA	KHM								0	072	072	07	2	8.3	7	1	7	3.30073349633252					0	0	0	4	Mondulkiri, Khet Mondul Kiri, Cambodia	CB	CB10	12.45	107.2	-1032742	4	Mondulkiri, Khet Mondul Kiri, Cambodia	CB	CB10	12.45	107.2	-1024640	20130203
24,24	19790101	197901	1979	1979.0027											KHM	CAMBODIA	KHM								0	072	072	07	2	8.3	2	1	2	3.30073349633252					0	0	0	4	Peking, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Peking, Beijing, China	CH	CH22	39.9289	116.388	-1898545	20130203
25,25	19790101	197901	1979	1979.0027											LAB	UNIONS						LAB			0	030	030	03	1	4	9	1	9	5.88235294117647					0	0	0	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20130203
26,26	19790101	197901	1979	1979.0027											LAB	UNIONS						LAB			1	057	057	05	1	8	9	1	9	6.41399416909621					0	0	0	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20130203
27,27	19790101	197901	1979	1979.0027											LEG	REPRESENTATIVES						LEG			1	042	042	04	1	1.9	5	1	5	5.79710144927536					0	0	0	4	Sadat, Shamal Sina', Egypt	EG	EG27	31.2237	34.2084	9232784	4	Sadat, Shamal Sina', Egypt	EG	EG27	31.2237	34.2084	9232784	20130203
28,28	19790101	197901	1979	1979.0027											MED	NEWSPAPER						MED			1	030	030	03	1	4	9	1	9	5.88235294117647					0	0	0	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20130203
